wind_code,,trading_date,wind_code,open_price,high_price,low_price,close_price,volume,vwap,turn,free_turn,is_st,trade_status,susp_days,susp_reason,max_up_or_down,close_adj,return1,return5,return_bn
000975.SZ,663,2013-11-04,000975.SZ,8.43,8.59,8.4,8.46,3139466.0,8.502370116446556,0.5039872355755457,0.7888848764226412,0.0,交易,,,0.0,38.69666604,0.010752688172043001,-0.016548463356973908,-0.08432797493884098
000975.SZ,664,2013-11-05,000975.SZ,8.42,8.79,8.4,8.7,5154102.0,8.647967424781271,0.8274023731597638,1.2951225206260195,0.0,交易,,,0.0,39.79444379999999,0.028368794326240954,-0.04137931034482745,-0.5856688944272517
000975.SZ,665,2013-11-06,000975.SZ,8.67,8.78,8.56,8.6,4533921.0,8.66656437110395,0.7278429870264286,1.1392834666134362,0.0,交易,,,0.0,39.337036399999995,-0.011494252873563093,-0.05348837209302304,-0.6162074187610421
000975.SZ,666,2013-11-07,000975.SZ,8.6,8.68,8.38,8.38,3320387.9999999995,8.476426520033202,0.5330311489782704,0.8343469485113777,0.0,交易,,,0.0,38.33074012,-0.025581395348837077,-0.023866348448687624,-0.5130113147965885
000975.SZ,667,2013-11-08,000975.SZ,8.32,8.43,8.29,8.3,2709051.0,8.330068721482172,0.4348915148382456,0.6807302144242469,0.0,交易,,,0.0,37.9648142,-0.009546539379475028,-0.002409638554217053,-0.7078252147539632
000975.SZ,668,2013-11-11,000975.SZ,8.28,8.4,8.25,8.32,2856780.0,8.315573057778337,0.4586068633479412,0.7178515509537843,0.0,交易,,,0.0,38.05629568,0.002409638554216942,0.013221153846153744,-0.7140958226916275
000975.SZ,669,2013-11-12,000975.SZ,8.32,8.37,8.29,8.34,2068245.0,8.333741070327742,0.332021139914541,0.5197085113317824,0.0,交易,,,0.0,38.14777716,0.0024038461538460343,0.00599520383693064,-0.7633405904061189
000975.SZ,670,2013-11-13,000975.SZ,8.32,8.34,8.1,8.14,3075232.0,8.222413626028867,0.4936755723532144,0.7727441597682383,0.0,交易,,,0.0,37.23296236,-0.023980815347721673,0.02702702702702675,-0.855633761586378
000975.SZ,671,2013-11-14,000975.SZ,8.15,8.21,8.1,8.18,1896302.0,8.15263887292214,0.3044186504317545,0.4765026819624762,0.0,交易,,,0.0,37.41592531999999,0.004914004914004622,0.03911980440097795,-0.2624646156838631
000975.SZ,672,2013-11-15,000975.SZ,8.2,8.34,8.15,8.28,2108057.0,8.298137099708404,0.3384122713434954,0.5297124689156958,0.0,交易,,,0.0,37.87333271999999,0.012224938875305735,0.008454106280193274,-0.3930045908699495
000975.SZ,673,2013-11-18,000975.SZ,8.29,8.46,8.29,8.43,3226124.0,8.404201791375657,0.5178986860771615,0.8106602947966683,0.0,交易,,,0.0,38.55944381999999,0.018115942028985366,-0.015421115065243018,-0.45933841343905507
000975.SZ,674,2013-11-19,000975.SZ,8.45,8.47,8.35,8.39,2564820.0,8.397287295014854,0.4117377100273967,0.6444878551786574,0.0,交易,,,0.0,38.37648086,-0.0047449584816130486,-0.010727056019070313,-0.4114128030577153
000975.SZ,675,2013-11-20,000975.SZ,8.43,8.44,8.32,8.36,3606069.0,8.358626415634308,0.5788923169114342,0.9061328574466224,0.0,交易,,,0.0,38.239258639999996,-0.0035756853396902155,-0.007177033492822837,-0.4322152983884053
